basin_code,basin_name,native_richness,exotic_richness,total_richness,latitude,longitude
Kalabakan,Kalabakan,58,0,58,4.30778,117.623885
El.Pescado,El.Pescado,57,1,58,-34.90793696,-57.74151184
Crique.Yiyi,Crique.Yiyi,57,0,57,5.480562032,-53.09943723
Mulege,Mulege,57,1,58,26.90243544,-111.9566869
Ulua,Ulua,57,2,59,15.9044864,-87.74211585
Evros,Evros,57,15,72,40.73349842,26.03471283
Alas,Alas,57,4,61,2.291125,97.744102
Morehead,Morehead,57,2,59,-9.131944,141.020829
Chongup,Chongup,57,2,59,35.768378,126.7863876
Gin.Ganga,Gin.Ganga,57,3,60,6.067361,80.168472
Jianjiang,Jianjiang,57,3,60,21.3956548,110.7654149
Lokoundje,Lokoundje,57,0,57,3.206613655,9.925332764
Perula,Perula,57,0,57,19.58657446,-105.1277718
Appomattox,Appomattox,57,28,85,37.32037825,-77.27545777
Gravatai,Gravatai,56,0,56,-30.0396054,-51.23753822
Withlacoochee,Withlacoochee,56,3,59,29.02760608,-82.74795839
Coruh,Coruh,56,3,59,41.59921911,41.58371489
Aojiang,Aojiang,56,2,58,27.57743841,120.5814624
Lorentz,Lorentz,56,0,56,-5.465506283,138.0633529
Victoria,Victoria,56,0,56,-15.149167,129.648894
Quang.Tri,Quang.Tri,56,1,57,16.89666024,107.1812603
Cooper,Cooper,56,0,56,32.85303296,-79.94029453
Aucilla,Aucilla,56,4,60,30.08492767,-83.99349488
Macacu,Macacu,55,1,56,-22.96613471,-43.04117547
Caloosahatchee,Caloosahatchee,55,38,93,26.45370284,-81.90132942
Tonala,Tonala,55,1,56,18.2115343,-94.12849066
Aghnashini,Aghnashini,55,0,55,14.46946379,74.38530742
Dayang.He,Dayang.He,55,3,58,39.88353876,123.6449877
Kundalika,Kundalika,55,10,65,18.45221104,72.89016385
Kwa.Ibo,Kwa.Ibo,55,0,55,4.552560444,8.020071409
South.Alligator,South.Alligator,55,0,55,-12.29498075,132.4111834
Roper,Roper,55,0,55,-14.763889,135.393615
Duong.Dong,Duong.Dong,55,1,56,10.210107,103.958817
Lavaca,Lavaca,54,5,59,28.71882886,-96.58827201
Laloki,Laloki,54,6,60,-9.125555,146.940277
Mandor,Mandor,54,0,54,0.023552,109.254288
Pamba,Pamba,54,3,57,9.313094333,76.36827753
Daliao.He,Daliao.He,54,11,65,40.68769682,122.1407215
Salado,Salado,53,2,55,-35.79001953,-57.37989095
Parramatta,Parramatta,53,4,57,-33.966024,151.178207
Ben.Hai,Ben.Hai,53,1,54,17.18378589,106.9771296
Giang,Giang,53,1,54,17.7670697,106.3561132
Kilsan.chon,Kilsan.chon,53,2,55,36.02589654,126.76519
Nilwala.Ganga,Nilwala.Ganga,53,2,55,5.942916,80.549309
Savitri,Savitri,53,10,63,17.99227449,73.02444432
Mano,Mano,53,0,53,6.91992001,-11.47678458
Tana,Tana,53,6,59,-2.56431925,40.38426045
Biwa,Biwa,53,15,68,34.683831,135.422576
Malmanoury,Malmanoury,52,0,52,5.294628677,-52.79398375
Moruka,Moruka,52,0,52,7.671398002,-58.76454079
Grande.Panama,Grande.Panama,52,6,58,8.930851709,-79.54658085
Barito,Barito,52,0,52,-3.375287,114.223862
Bensbach,Bensbach,52,1,53,-8.949347569,140.7672977
Maro,Maro,52,1,53,-8.470589,140.339554
Mahaweli.Ganga,Mahaweli.Ganga,52,7,59,8.462638999,81.202636
Meme,Meme,52,0,52,4.535549674,8.919783428
Odra,Odra,52,13,65,53.65607331,14.58741296
Burdekin,Burdekin,52,5,57,-19.57972,147.568893
Kallada,Kallada,52,2,54,8.924200751,76.54810632
Patuxent,Patuxent,52,0,52,38.67702471,-76.68053366
Merrimack,Merrimack,51,22,73,42.82445699,-70.82910026
Wenlock,Wenlock,51,0,51,-12.20953586,141.7404643
Siak,Siak,51,1,52,1.146825495,102.201198
Ba,Ba,51,1,52,13.07660554,109.3411971
Beilun.He,Beilun.He,51,2,53,21.50217085,107.9228439
Kariyamgode,Kariyamgode,51,1,52,12.22720816,75.11110267
Phong.Nha,Phong.Nha,51,1,52,17.72504295,106.4189752
Taedong,Taedong,51,1,52,38.6775667,125.5520611
uMngeni,uMngeni,51,13,64,-29.81651991,31.04865934
Sampan.creek,Sampan.creek,50,0,50,-12.280278,131.699722
Burnett,Burnett,50,3,53,-24.760221,152.402664
Indragiri,Indragiri,50,0,50,-0.353333,103.452774
Amba,Amba,50,10,60,18.79950593,72.90198815
Attanagalu.Oya,Attanagalu.Oya,50,4,54,7.166805,79.828475
Chandragiri,Chandragiri,50,1,51,12.46666255,74.99039276
Tamiraparani,Tamiraparani,50,3,53,8.657904364,78.13501247
Lake.Malombe,Lake.Malombe,50,0,50,,
Heraz,Heraz,50,16,66,,
Amu.Darya,Amu.Darya,50,14,64,,
Cubatao,Cubatao,49,1,50,-26.20903715,-48.7578871
Itanhaem,Itanhaem,49,2,51,-24.19491176,-46.78230762
Carti.Grande,Carti.Grande,49,0,49,9.446026016,-78.96894407
Tuy,Tuy,49,2,51,10.39206361,-65.99279647
Brisbane,Brisbane,49,7,56,-27.40314748,153.1882046
Mary,Mary,49,8,57,-25.453611,152.91417
Padas,Padas,49,0,49,5.553118,115.626617
Fatala,Fatala,49,1,50,10.13745914,-14.0403826
Me,Me,49,1,50,5.374877894,-3.810960051
Mfolozi,Mfolozi,49,1,50,-28.56306755,32.36805056
Nyanga,Nyanga,49,0,49,-2.976615016,10.30334313
Tugela,Tugela,49,5,54,-29.22219673,31.48466263
Elbe,Elbe,49,13,62,53.59484619,9.629216095
Ural,Ural,49,1,50,46.94144978,51.72582068
Sedili,Sedili,49,0,49,1.919495555,104.1213893
Mattaponi,Mattaponi,49,31,80,37.53546784,-76.78105628
Ameca,Ameca,48,3,51,20.69145642,-105.2642005
Jamapa,Jamapa,48,0,48,19.11154665,-96.08632071
San.Pedro.Mezquital,San.Pedro.Mezquital,48,0,48,21.76259004,-105.4982172
Sakarya,Sakarya,48,4,52,41.1322196,30.6403787
Strymon,Strymon,48,11,59,40.77068128,23.89128174
Pagatban.Negros,Pagatban.Negros,48,5,53,9.38,122.71278
Bentota.Ganga,Bentota.Ganga,48,3,51,6.42986,79.993751
Biliu.He,Biliu.He,48,5,53,39.47063767,122.5593838
Kobu.chon,Kobu.chon,48,2,50,35.76026032,126.7822372
Tra.Khuc,Tra.Khuc,48,1,49,15.15646637,108.8984812
Tuhai.Majia.He,Tuhai.Majia.He,48,2,50,38.14617906,118.1033809
Boubo,Boubo,48,0,48,5.214297837,-5.25286686
